u,x1,x2,x3
-1,1,-0.375,3.999
-1,0.999,-0.374001,3.99863
-1,0.998,-0.373002,3.99825
-1,0.997,-0.372005,3.99788
-1,0.996,-0.371008,3.99751
-1,0.995,-0.370013,3.99714
-1,0.994,-0.369018,3.99677
-1,0.993,-0.368024,3.9964
-1,0.992,-0.367032,3.99603
-1,0.991,-0.36604,3.99567
-1,0.99,-0.36505,3.9953
-1,0.989,-0.364061,3.99494
-1,0.988,-0.363072,3.99457
-1,0.987,-0.362084,3.99421
-1,0.986,-0.361098,3.99385
-1,0.985,-0.360113,3.99349
-1,0.984,-0.359128,3.99313
-1,0.983,-0.358144,3.99277
-1,0.982,-0.357162,3.99241
-1,0.981,-0.356181,3.99205
-1,0.98,-0.3552,3.9917
-1,0.979,-0.35422,3.99134
-1,0.978,-0.353242,3.99099
-1,0.977,-0.352264,3.99064
-1,0.976,-0.351288,3.99029
-1,0.975,-0.350312,3.98993
-1,0.974,-0.349338,3.98959
-1,0.973,-0.348364,3.98924
-1,0.972,-0.347392,3.98889
-1,0.971,-0.34642,3.98854
-1,0.97,-0.34545,3.9882
-1,0.969,-0.34448,3.98785
-1,0.968,-0.343512,3.98751
-1,0.967,-0.342544,3.98716
-1,0.966,-0.341578,3.98682
-1,0.965,-0.340612,3.98648
-1,0.964,-0.339648,3.98614
-1,0.963,-0.338684,3.9858
-1,0.962,-0.337722,3.98546
-1,0.961,-0.33676,3.98513
-1,0.96,-0.3358,3.98479
-1,0.959,-0.33484,3.98445
-1,0.958,-0.333882,3.98412
-1,0.957,-0.332924,3.98379
-1,0.956,-0.331968,3.98345
-1,0.955,-0.331012,3.98312
-1,0.954,-0.330058,3.98279
-1,0.953,-0.329104,3.98246
-1,0.952,-0.328152,3.98213
-1,0.951,-0.3272,3.98181
-1,0.95,-0.32625,3.98148
-1,0.949,-0.3253,3.98115
-1,0.948,-0.324352,3.98083
-1,0.947,-0.323404,3.9805
-1,0.946,-0.322458,3.98018
-1,0.945,-0.321512,3.97986
-1,0.944,-0.320568,3.97954
-1,0.943,-0.319624,3.97922
-1,0.942,-0.318682,3.9789
-1,0.941,-0.31774,3.97858
-1,0.94,-0.3168,3.97826
-1,0.939,-0.31586,3.97795
-1,0.938,-0.314922,3.97763
-1,0.937,-0.313984,3.97732
-1,0.936,-0.313048,3.977
-1,0.935,-0.312112,3.97669
-1,0.934,-0.311178,3.97638
-1,0.933,-0.310244,3.97607
-1,0.932,-0.309312,3.97576
-1,0.931,-0.30838,3.97545
-1,0.93,-0.30745,3.97514
-1,0.929,-0.30652,3.97484
-1,0.928,-0.305592,3.97453
-1,0.927,-0.304664,3.97422
-1,0.926,-0.303738,3.97392
-1,0.925,-0.302812,3.97362
-1,0.924,-0.301888,3.97331
-1,0.923,-0.300964,3.97301
-1,0.922,-0.300042,3.97271
-1,0.921,-0.29912,3.97241
-1,0.92,-0.2982,3.97211
-1,0.919,-0.29728,3.97182
-1,0.918,-0.296362,3.97152
-1,0.917,-0.295444,3.97122
-1,0.916,-0.294528,3.97093
-1,0.915,-0.293612,3.97064
-1,0.914,-0.292698,3.97034
-1,0.913,-0.291784,3.97005
-1,0.912,-0.290872,3.96976
-1,0.911,-0.28996,3.96947
-1,0.91,-0.28905,3.96918
-1,0.909,-0.28814,3.96889
-1,0.908,-0.287232,3.9686
-1,0.907,-0.286324,3.96832
-1,0.906,-0.285418,3.96803
-1,0.905,-0.284512,3.96774
-1,0.904,-0.283608,3.96746
-1,0.903,-0.282704,3.96718
-1,0.902,-0.281802,3.9669
-1,0.901,-0.2809,3.96661
-1,0.9,-0.28,3.96633
-1,0.899,-0.2791,3.96605
-1,0.898,-0.278202,3.96578
-1,0.897,-0.277304,3.9655
-1,0.896,-0.276408,3.96522
-1,0.895,-0.275512,3.96494
-1,0.894,-0.274618,3.96467
-1,0.893,-0.273724,3.9644
-1,0.892,-0.272832,3.96412
-1,0.891,-0.27194,3.96385
-1,0.89,-0.27105,3.96358
-1,0.889,-0.27016,3.96331
-1,0.888,-0.269272,3.96304
-1,0.887,-0.268384,3.96277
-1,0.886,-0.267498,3.9625
-1,0.885,-0.266612,3.96223
-1,0.884,-0.265728,3.96197
-1,0.883,-0.264844,3.9617
-1,0.882,-0.263962,3.96144
-1,0.881,-0.26308,3.96117
-1,0.88,-0.2622,3.96091
-1,0.879,-0.26132,3.96065
-1,0.878,-0.260442,3.96039
-1,0.877,-0.259564,3.96013
-1,0.876,-0.258688,3.95987
-1,0.875,-0.257812,3.95961
-1,0.874,-0.256938,3.95935
