u,x1,x2,x3
-1,1,-0.375,4
-1,0.999,-0.374001,3.99963
-1,0.998,-0.373002,3.99925
-1,0.997,-0.372005,3.99888
-1,0.996,-0.371008,3.99851
-1,0.995,-0.370013,3.99814
-1,0.994,-0.369018,3.99777
-1,0.993,-0.368024,3.9974
-1,0.992,-0.367032,3.99703
-1,0.991,-0.36604,3.99667
-1,0.99,-0.36505,3.9963
-1,0.989,-0.364061,3.99594
-1,0.988,-0.363072,3.99557
-1,0.987,-0.362084,3.99521
-1,0.986,-0.361098,3.99485
-1,0.985,-0.360113,3.99449
-1,0.984,-0.359128,3.99413
-1,0.983,-0.358144,3.99377
-1,0.982,-0.357162,3.99341
-1,0.981,-0.356181,3.99305
-1,0.98,-0.3552,3.9927
-1,0.979,-0.35422,3.99234
-1,0.978,-0.353242,3.99199
-1,0.977,-0.352264,3.99164
-1,0.976,-0.351288,3.99129
-1,0.975,-0.350312,3.99093
-1,0.974,-0.349338,3.99059
-1,0.973,-0.348364,3.99024
-1,0.972,-0.347392,3.98989
-1,0.971,-0.34642,3.98954
-1,0.97,-0.34545,3.9892
-1,0.969,-0.34448,3.98885
-1,0.968,-0.343512,3.98851
-1,0.967,-0.342544,3.98816
-1,0.966,-0.341578,3.98782
-1,0.965,-0.340612,3.98748
-1,0.964,-0.339648,3.98714
-1,0.963,-0.338684,3.9868
-1,0.962,-0.337722,3.98646
-1,0.961,-0.33676,3.98613
-1,0.96,-0.3358,3.98579
-1,0.959,-0.33484,3.98545
-1,0.958,-0.333882,3.98512
-1,0.957,-0.332924,3.98479
-1,0.956,-0.331968,3.98445
-1,0.955,-0.331012,3.98412
-1,0.954,-0.330058,3.98379
-1,0.953,-0.329104,3.98346
-1,0.952,-0.328152,3.98313
-1,0.951,-0.3272,3.98281
-1,0.95,-0.32625,3.98248
-1,0.949,-0.3253,3.98215
-1,0.948,-0.324352,3.98183
-1,0.947,-0.323404,3.9815
-1,0.946,-0.322458,3.98118
-1,0.945,-0.321512,3.98086
-1,0.944,-0.320568,3.98054
-1,0.943,-0.319624,3.98022
-1,0.942,-0.318682,3.9799
-1,0.941,-0.31774,3.97958
-1,0.94,-0.3168,3.97926
-1,0.939,-0.31586,3.97895
-1,0.938,-0.314922,3.97863
-1,0.937,-0.313984,3.97832
-1,0.936,-0.313048,3.978
-1,0.935,-0.312112,3.97769
-1,0.934,-0.311178,3.97738
-1,0.933,-0.310244,3.97707
-1,0.932,-0.309312,3.97676
-1,0.931,-0.30838,3.97645
-1,0.93,-0.30745,3.97614
-1,0.929,-0.30652,3.97584
-1,0.928,-0.305592,3.97553
-1,0.927,-0.304664,3.97522
-1,0.926,-0.303738,3.97492
-1,0.925,-0.302812,3.97462
-1,0.924,-0.301888,3.97431
-1,0.923,-0.300964,3.97401
-1,0.922,-0.300042,3.97371
-1,0.921,-0.29912,3.97341
-1,0.92,-0.2982,3.97311
-1,0.919,-0.29728,3.97282
-1,0.918,-0.296362,3.97252
-1,0.917,-0.295444,3.97222
-1,0.916,-0.294528,3.97193
-1,0.915,-0.293612,3.97164
-1,0.914,-0.292698,3.97134
-1,0.913,-0.291784,3.97105
-1,0.912,-0.290872,3.97076
-1,0.911,-0.28996,3.97047
-1,0.91,-0.28905,3.97018
-1,0.909,-0.28814,3.96989
-1,0.908,-0.287232,3.9696
-1,0.907,-0.286324,3.96932
-1,0.906,-0.285418,3.96903
-1,0.905,-0.284512,3.96874
-1,0.904,-0.283608,3.96846
-1,0.903,-0.282704,3.96818
-1,0.902,-0.281802,3.9679
-1,0.901,-0.2809,3.96761
-1,0.9,-0.28,3.96733
-1,0.899,-0.2791,3.96705
-1,0.898,-0.278202,3.96678
-1,0.897,-0.277304,3.9665
-1,0.896,-0.276408,3.96622
-1,0.895,-0.275512,3.96594
-1,0.894,-0.274618,3.96567
-1,0.893,-0.273724,3.9654
-1,0.892,-0.272832,3.96512
-1,0.891,-0.27194,3.96485
-1,0.89,-0.27105,3.96458
-1,0.889,-0.27016,3.96431
-1,0.888,-0.269272,3.96404
-1,0.887,-0.268384,3.96377
-1,0.886,-0.267498,3.9635
-1,0.885,-0.266612,3.96323
-1,0.884,-0.265728,3.96297
-1,0.883,-0.264844,3.9627
-1,0.882,-0.263962,3.96244
-1,0.881,-0.26308,3.96217
-1,0.88,-0.2622,3.96191
-1,0.879,-0.26132,3.96165
-1,0.878,-0.260442,3.96139
-1,0.877,-0.259564,3.96113
-1,0.876,-0.258688,3.96087
-1,0.875,-0.257812,3.96061
-1,0.874,-0.256938,3.96035
-1,0.873,-0.256064,3.9601
-1,0.872,-0.255192,3.95984
-1,0.871,-0.25432,3.95959
-1,0.87,-0.25345,3.95933
-1,0.869,-0.25258,3.95908
-1,0.868,-0.251712,3.95883
-1,0.867,-0.250844,3.95858
-1,0.866,-0.249978,3.95833
-1,0.865,-0.249112,3.95808
-1,0.864,-0.248248,3.95783
-1,0.863,-0.247384,3.95758
-1,0.862,-0.246522,3.95733
-1,0.861,-0.24566,3.95709
-1,0.86,-0.2448,3.95684
-1,0.859,-0.24394,3.9566
-1,0.858,-0.243082,3.95635
-1,0.857,-0.242224,3.95611
-1,0.856,-0.241368,3.95587
-1,0.855,-0.240512,3.95563
-1,0.854,-0.239658,3.95539
-1,0.853,-0.238804,3.95515
-1,0.852,-0.237952,3.95491
-1,0.851,-0.2371,3.95467
-1,0.85,-0.23625,3.95444
-1,0.849,-0.2354,3.9542
-1,0.848,-0.234552,3.95397
-1,0.847,-0.233704,3.95373
-1,0.846,-0.232858,3.9535
-1,0.845,-0.232012,3.95327
-1,0.844,-0.231168,3.95304
-1,0.843,-0.230324,3.9528
-1,0.842,-0.229482,3.95257
-1,0.841,-0.22864,3.95235
-1,0.84,-0.2278,3.95212
-1,0.839,-0.22696,3.95189
-1,0.838,-0.226122,3.95166
-1,0.837,-0.225284,3.95144
-1,0.836,-0.224448,3.95121
-1,0.835,-0.223612,3.95099
-1,0.834,-0.222778,3.95077
-1,0.833,-0.221944,3.95054
-1,0.832,-0.221112,3.95032
-1,0.831,-0.22028,3.9501
-1,0.83,-0.21945,3.94988
-1,0.829,-0.21862,3.94966
-1,0.828,-0.217792,3.94944
-1,0.827,-0.216964,3.94923
-1,0.826,-0.216138,3.94901
-1,0.825,-0.215312,3.94879
-1,0.824,-0.214488,3.94858
-1,0.823,-0.213664,3.94837
-1,0.822,-0.212842,3.94815
-1,0.821,-0.21202,3.94794
-1,0.82,-0.2112,3.94773
-1,0.819,-0.21038,3.94752
-1,0.818,-0.209562,3.94731
-1,0.817,-0.208744,3.9471
-1,0.816,-0.207928,3.94689
-1,0.815,-0.207112,3.94668
-1,0.814,-0.206298,3.94648
-1,0.813,-0.205484,3.94627
-1,0.812,-0.204672,3.94606
-1,0.811,-0.20386,3.94586
-1,0.81,-0.20305,3.94566
-1,0.809,-0.20224,3.94545
-1,0.808,-0.201432,3.94525
-1,0.807,-0.200624,3.94505
-1,0.806,-0.199818,3.94485
-1,0.805,-0.199012,3.94465
-1,0.804,-0.198208,3.94445
-1,0.803,-0.197404,3.94426
-1,0.802,-0.196602,3.94406
-1,0.801,-0.1958,3.94386
-1,0.8,-0.195,3.94367
-1,0.799,-0.1942,3.94347
-1,0.798,-0.193402,3.94328
-1,0.797,-0.192604,3.94309
-1,0.796,-0.191808,3.94289
-1,0.795,-0.191012,3.9427
-1,0.794,-0.190218,3.94251
-1,0.793,-0.189424,3.94232
-1,0.792,-0.188632,3.94213
-1,0.791,-0.18784,3.94194
-1,0.79,-0.18705,3.94176
-1,0.789,-0.18626,3.94157
-1,0.788,-0.185472,3.94138
-1,0.787,-0.184684,3.9412
-1,0.786,-0.183898,3.94101
-1,0.785,-0.183112,3.94083
-1,0.784,-0.182328,3.94065
-1,0.783,-0.181544,3.94047
-1,0.782,-0.180762,3.94029
-1,0.781,-0.17998,3.9401
-1,0.78,-0.1792,3.93993
-1,0.779,-0.17842,3.93975
-1,0.778,-0.177642,3.93957
-1,0.777,-0.176864,3.93939
-1,0.776,-0.176088,3.93921
-1,0.775,-0.175312,3.93904
-1,0.774,-0.174538,3.93886
-1,0.773,-0.173764,3.93869
-1,0.772,-0.172992,3.93852
-1,0.771,-0.17222,3.93834
-1,0.77,-0.17145,3.93817
-1,0.769,-0.17068,3.938
-1,0.768,-0.169912,3.93783
-1,0.767,-0.169144,3.93766
-1,0.766,-0.168378,3.93749
-1,0.765,-0.167612,3.93732
-1,0.764,-0.166848,3.93716
-1,0.763,-0.166084,3.93699
-1,0.762,-0.165322,3.93683
-1,0.761,-0.16456,3.93666
-1,0.76,-0.1638,3.9365
-1,0.759,-0.16304,3.93633
-1,0.758,-0.162282,3.93617
-1,0.757,-0.161524,3.93601
-1,0.756,-0.160768,3.93585
-1,0.755,-0.160012,3.93569
-1,0.754,-0.159258,3.93553
-1,0.753,-0.158504,3.93537
-1,0.752,-0.157752,3.93521
-1,0.751,-0.157,3.93505
-1,0.75,-0.15625,3.9349
-1,0.749,-0.1555,3.93474
-1,0.748,-0.154752,3.93458
-1,0.747,-0.154004,3.93443
-1,0.746,-0.153258,3.93428
-1,0.745,-0.152512,3.93412
-1,0.744,-0.151768,3.93397
-1,0.743,-0.151024,3.93382
-1,0.742,-0.150282,3.93367
-1,0.741,-0.14954,3.93352
-1,0.74,-0.1488,3.93337
-1,0.739,-0.14806,3.93322
-1,0.738,-0.147322,3.93307
-1,0.737,-0.146584,3.93293
-1,0.736,-0.145848,3.93278
-1,0.735,-0.145112,3.93264
-1,0.734,-0.144378,3.93249
-1,0.733,-0.143644,3.93235
-1,0.732,-0.142912,3.9322
-1,0.731,-0.14218,3.93206
-1,0.73,-0.14145,3.93192
-1,0.729,-0.14072,3.93178
-1,0.728,-0.139992,3.93164
-1,0.727,-0.139264,3.9315
-1,0.726,-0.138538,3.93136
-1,0.725,-0.137812,3.93122
-1,0.724,-0.137088,3.93108
-1,0.723,-0.136364,3.93095
-1,0.722,-0.135642,3.93081
-1,0.721,-0.13492,3.93068
-1,0.72,-0.1342,3.93054
-1,0.719,-0.13348,3.93041
-1,0.718,-0.132762,3.93027
-1,0.717,-0.132044,3.93014
-1,0.716,-0.131328,3.93001
-1,0.715,-0.130612,3.92988
-1,0.714,-0.129898,3.92975
-1,0.713,-0.129184,3.92962
-1,0.712,-0.128472,3.92949
-1,0.711,-0.12776,3.92936
-1,0.71,-0.12705,3.92924
-1,0.709,-0.12634,3.92911
-1,0.708,-0.125632,3.92898
-1,0.707,-0.124924,3.92886
-1,0.706,-0.124218,3.92873
-1,0.705,-0.123512,3.92861
-1,0.704,-0.122808,3.92849
-1,0.703,-0.122104,3.92836
-1,0.702,-0.121402,3.92824
-1,0.701,-0.1207,3.92812
-1,0.7,-0.12,3.928
-1,0.699,-0.1193,3.92788
-1,0.698,-0.118602,3.92776
-1,0.697,-0.117904,3.92764
-1,0.696,-0.117208,3.92753
-1,0.695,-0.116512,3.92741
-1,0.694,-0.115818,3.92729
-1,0.693,-0.115124,3.92718
-1,0.692,-0.114432,3.92706
-1,0.691,-0.11374,3.92695
-1,0.69,-0.11305,3.92683
-1,0.689,-0.11236,3.92672
-1,0.688,-0.111672,3.92661
-1,0.687,-0.110984,3.9265
-1,0.686,-0.110298,3.92639
-1,0.685,-0.109612,3.92628
-1,0.684,-0.108928,3.92617
-1,0.683,-0.108244,3.92606
-1,0.682,-0.107562,3.92595
-1,0.681,-0.10688,3.92585
-1,0.68,-0.1062,3.92574
-1,0.679,-0.10552,3.92563
-1,0.678,-0.104842,3.92553
-1,0.677,-0.104164,3.92542
-1,0.676,-0.103488,3.92532
-1,0.675,-0.102812,3.92522
-1,0.674,-0.102138,3.92511
-1,0.673,-0.101464,3.92501
-1,0.672,-0.100792,3.92491
-1,0.671,-0.10012,3.92481
-1,0.67,-0.09945,3.92471
-1,0.669,-0.0987805,3.92461
-1,0.668,-0.098112,3.92451
-1,0.667,-0.0974445,3.92442
-1,0.666,-0.096778,3.92432
-1,0.665,-0.0961125,3.92422
-1,0.664,-0.095448,3.92413
-1,0.663,-0.0947845,3.92403
-1,0.662,-0.094122,3.92394
-1,0.661,-0.0934605,3.92384
-1,0.66,-0.0928,3.92375
-1,0.659,-0.0921405,3.92366
-1,0.658,-0.091482,3.92357
-1,0.657,-0.0908245,3.92347
-1,0.656,-0.090168,3.92338
-1,0.655,-0.0895125,3.92329
-1,0.654,-0.088858,3.9232
